Year,GFDL-ESM2M,NorESM2,ACCESS,UKESM1,CanESM5,CESM,MPIESM,CNRM-ESM2-1,MIROC-ES2L
84.0,2.6234269157796817,2.3929,-0.04500000000000004,2.72444794522,0.49638,2.09432169,-0.117,1.71053,2.75667
85.0,7.260434124699007,3.1898,-0.95,-0.13588824737,-0.2508,2.974756,3.7484,4.330405,0.80656
86.0,6.950821236410567,2.8412,1.1,-0.334882655671,1.3477,3.30598489,0.4505,3.989167,-0.05592
87.0,-5.527718382078598,1.5381,1.36,2.78275221282,4.6786,3.42732168,2.2506,2.213458,-0.03797
88.0,-5.16345965795244,2.1072,1.155,-1.18830871139,1.7729,1.46653727,1.0168,2.793142,-0.29088
89.0,1.910816317327784,2.0301,1.5150000000000001,-1.11913403835,1.5485,1.60360563,2.1023,2.995301,-2.08114
90.0,-1.1789230141944975,2.2254,1.1300000000000001,1.08563632858,2.2606,2.13734098,1.2497,3.006755,0.99883
91.0,2.4769722440942457,1.797,2.365,0.537640538844,1.2825,2.1992603,0.6047,2.85996,2.1884200000000003
92.0,3.7657614853330417,2.1511,1.2550000000000001,-1.46736961095,1.6104,2.52298976,1.2954,2.112755,1.62533
93.0,-1.498514345254576,2.5043,0.19,-0.307193748545,1.2506,2.62791971,1.8837,2.190411,-0.8367399999999999
94.0,0.578326114943648,2.7975,1.5999999999999999,2.20284528129,0.5858800000000001,1.42650994,1.7994,3.409341,0.3447199999999999
95.0,-1.5277326260588713,1.2262,0.475,-0.0180991662730999,-0.29207,2.17341707,-0.3556,0.439811,2.14028
96.0,7.530514602528262,1.0958,-1.08,-1.95063620407,2.0561,1.88999867,2.0291,3.211465,1.379
97.0,2.4218312577416774,1.8445,-0.49500000000000005,1.84971513164,0.1222,1.98123855,3.1122,2.609963,-0.43925
98.0,0.4170392535039997,2.5785,0.24,0.00562795502443,-1.6255,1.59382984,3.3541,2.335202,-2.87332
99.0,0.29243933569753405,1.2427,-0.5700000000000001,0.428725941302,1.9283,2.9323074,-1.6754,1.939329,-0.16164
100.0,-0.7239996111549365,1.2845,-2.135,2.38247442435,2.1231,1.12101828,-0.8952,2.202348,2.14777
101.0,0.142529008547418,1.8134,0.245,1.23979278255,-0.034535,1.75728658,0.7498,1.224808,1.6723599999999998
102.0,1.2874869048193767,1.627,1.04,-0.0594296970323,1.4531,1.85400581,0.3314,2.98853,1.3964299999999998
103.0,1.6615901962127788,0.52556,0.26000000000000006,-1.7272770826099997,0.0068675,1.28851449,-0.6102,3.696422,-0.36616
104.0,-3.352668028703562,1.1441,0.41000000000000003,0.495976885362,0.2598,2.05357545,0.9743,1.513966,-1.4851
105.0,-1.0451842150231663,1.5808,2.265,1.71718842869,0.79214,1.34293739,1.5825,0.386605,-0.64153
106.0,5.014345943326157,0.66226,0.5349999999999999,-0.583820510494,1.0353,0.83984546,2.1685,0.797059,0.91862
107.0,6.652655138799169,1.1502,0.3,-1.1497480338,1.5788,1.66760384,1.0494,2.122552,-0.5151
108.0,2.6041669849480766,1.7138,2.355,0.904516715908,-1.1714,0.49924597,-0.7354,-0.534586,-0.5240600000000001
109.0,-0.2680979675051849,1.2568,-2.235,2.16953815391,0.55101,0.80532435,0.2033,0.993636,0.7159399999999999
110.0,-1.992068283922236,0.6753,-0.33000000000000007,-1.10211915294,1.1166,1.44138169,-0.8625,2.681673,1.17947
111.0,0.32493061720933714,1.411,0.895,-0.410779922439,2.1692,1.22600862,1.6374,0.281667,-0.4609899999999999
112.0,-4.994957594971881,1.6662,-0.845,0.915483187351,0.46744,2.51044424,0.2408,2.637774,-2.05897
113.0,-5.196726576158861,0.42463,0.955,0.8139793878839999,0.063598,1.36618393,0.7256,2.216879,0.91123
114.0,7.422238358205368,0.57176,0.455,-1.3972031555200002,0.28338,0.2958849,3.5269,-0.236358,0.76804
115.0,0.6683946435682193,0.40821,-0.585,-0.205644327135,-1.5274,1.22564631,0.6892,1.604909,0.2391
116.0,0.24481132528289384,1.2266,0.9600000000000001,-0.282033105026,-1.1866,0.62081781,0.1842,0.6873,-1.39058
117.0,-1.445544983498695,0.43482,0.42500000000000004,0.349061066679,0.27838,0.41613137,3.2694,1.110253,-2.3950400000000003
118.0,6.417858189048287,0.86857,2.145,-2.68488549925,1.2978,0.30421526,-1.0816,1.369323,0.51607
119.0,-3.705552391462576,1.5279,1.83,-0.544138203194,0.60078,1.4885138,-1.0657,1.353244,1.85971
120.0,-1.7332292604521216,0.21858,-1.65,1.10576760483,0.13685,0.6684262,-0.1197,-0.248752,0.6928
121.0,4.133980851225251,0.804,-0.30999999999999994,0.458429472468,1.4827,0.32345588,-0.281,2.042872,-2.57532
122.0,-4.545953455522016,-0.26371,-1.4000000000000001,1.50468597615,1.6288,0.8452655,-0.7546,-0.26552,-0.4493899999999999
123.0,-2.8344560820560663,0.44847,-2.335,-1.4818361356099998,0.5085,1.96262789,2.1579,0.229048,0.46668
124.0,2.7582041743472234,1.0052,0.29000000000000004,0.846905725142,0.098263,-0.23225348,2.9416,0.755518,1.25783
125.0,-0.834631240863912,1.1436,1.005,0.410571466672,0.31627,0.49074346,0.2872,1.89872,-0.62797
126.0,0.14183718826713498,0.53936,-0.6300000000000001,-0.7862826336669999,1.5312,0.59229643,2.3027,0.685166,-1.14411
127.0,7.920760067877175,0.5146,-2.125,2.78957347967,-2.5164,0.45905931,-0.7292,-1.027995,0.6150399999999999
128.0,1.3141921281627176,0.2493,-0.17000000000000004,-2.15617908424,1.2205,0.10498122,-1.7896,-0.107795,1.88065
129.0,-5.288967089917897,-0.071466,-0.08,-2.06219111265,-0.78976,0.21156342,-0.1502,0.611042,1.59758
130.0,-3.8968132944994194,0.72869,-0.605,1.3226893829000002,0.99678,0.23450417,0.3378,0.502366,0.13947
131.0,6.186930552248462,0.57568,0.49500000000000005,-0.605835567425,2.0933,0.24548055,3.8615,1.035103,-1.22084
132.0,0.033616089705204466,0.10727,1.035,1.23914179712,0.032405,-0.12831106,-0.2156,1.151627,0.01633
133.0,-3.2542672440614577,0.49441,-0.9650000000000001,-1.28691283718,2.0518,1.13844197,-0.3947,0.980252,-0.40815
134.0,-1.5626559449396602,0.35292,2.265,2.42299636066,0.20929,1.10327239,1.2468,0.023009,0.35714
135.0,2.7032623452552778,-0.45248,0.2250000000000001,1.15343224773,-2.7788,0.67879373,-0.8915,-0.408701,0.66761
136.0,-0.8499155586342579,-0.010986,0.42500000000000004,-2.09162684253,-1.3971,-0.1003285,-1.1698,-0.137622,-3.28665
137.0,-0.7771619661964271,0.10394,1.4049999999999998,0.9762779838429282,-1.1038,0.48483937,-2.3413,0.624332,0.50993
138.0,-3.617845753704504,0.10167,-2.03,0.5862017661431468,0.79393,0.5880504,2.2486,-1.266791,0.6441600000000001
139.0,9.967396602349764,-0.24238,-0.1150000000000001,-1.3123062660841929,2.0109,0.17597308,2.859,1.615626,1.05342
140.0,4.6473896741284815,0.3501,1.32,0.2517406033245265,1.7432,-0.17476716,2.6567,-0.5059,1.60726
141.0,-7.396641700900472,0.30156,-0.08999999999999997,1.0580091802522051,1.2943,0.33802962,-0.3907,-0.810888,-1.88243
142.0,-1.5149674061936211,-0.8825,0.34,0.6505361228425409,-0.8874200000000001,0.32738616,-1.1865,0.219112,-0.70014
143.0,2.9956721807752777,0.92368,-2.08,-2.334410240110657,-2.0283,0.14440719,1.295,0.606096,1.60678
144.0,0.3766150101244494,0.9392,-1.33,-0.5044492304387417,-4.6909,0.75857309,-0.3484,1.093957,2.0623
145.0,-2.3756101325192764,0.30889,1.705,-0.7361016138575194,0.11363,-0.20411165,-1.4042,0.632905,0.97061
146.0,-4.0555765699850514,-0.81989,-3.0,-1.4633300965195368,1.8292,0.41869593,-1.1693,1.153879,-2.74253
147.0,-0.18526665944021967,0.66626,-0.32500000000000007,0.3503188233121338,0.67078,-0.30813792,1.4941,-0.654573,0.55437
148.0,10.39332653604752,0.65263,1.02,-1.7026594729176772,0.92433,0.71080094,0.039,-0.809261,1.76218
149.0,3.9938352609532486,0.48473,-3.2,2.052930204840085,-0.32197,0.42178523,-0.8459,0.311996,0.54461
150.0,-4.490798418251047,-0.74788,-1.6,-2.615556307299495,-0.2202,0.07212302,1.2278,1.441929,-0.67574
151.0,-2.183245978144264,-0.34659,-1.05,1.3739384831280372,-4.2403,0.03511188,-0.9157,1.060388,-2.35996
152.0,-0.8296156131384109,-0.60157,-3.32,1.710722080106902,-0.19825,-0.13431494,-0.0832,0.905841,-2.15145
153.0,-6.891063137950511,-0.58861,-2.11,0.0073241996627189,0.17715,0.46360691,1.1905,0.334548,-0.22843
154.0,3.4414971369051184,0.50268,0.91,-0.5604771712391738,0.90501,0.9109141,0.1131,0.282068,0.41862
155.0,1.0128900586173375,0.55165,3.48,1.7924203847464988,0.46283,-0.71894387,0.1562,0.701842,0.4836399999999999
156.0,-1.6199642883282412,-0.20327,0.79,-0.341750415992452,-1.8679,-0.37456142,0.3121,0.312151,-1.64234
157.0,3.860237958135584,-0.085937,0.85,1.3582547804669427,0.054442,0.79880752,-1.0367,-0.110262,-0.62983
