Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
135;0.704560498;0.859;0.92;0.881559856;0.49649;0.54384595;0.765;0.539091019;1.09408
136;0.756333062;0.7734;0.71;0.752979934;0.57809;0.55022534;0.822;0.432717156;1.14254
137;0.878134809;0.73335;0.66;0.571008973;0.7197;0.62097696;0.8526;0.906020063;0.95393
138;1.018958745;0.931;0.83;0.691616663;0.57981;0.65168289;0.9088;0.639782569;0.84329
139;0.463899404;0.84558;0.84;0.789221067;0.53103;0.79058757;0.5281;0.609181231;0.79752
140;0.049449223;0.8143;1.00;0.787016914;0.35527;0.69248456;0.7132;0.452134091;0.99559
141;0.672066364;0.98131;0.68;0.750466971;0.29046;0.64752815;0.6695;0.305438806;0.93449
142;0.991420984;0.78402;0.97;0.715216166;0.35454;0.67134343;0.6912;0.166402362;1.01837
143;0.533299468;0.84438;1.09;0.926019853;0.56895;0.59943529;0.6809;0.27069255;1.04565
144;0.450829386;0.85121;0.68;0.93380202;0.74024;0.73734294;0.7254;0.21636501;0.86189
145;0.781217159;0.70605;0.59;0.94755508;0.74847;0.61568572;0.808;0.5414405;0.95112
146;0.990192948;0.61501;0.82;0.797071156;0.74503;0.60930601;1.0276;0.143146234;0.96443
147;0.958722285;0.81781;0.74;0.917167088;0.46914;0.64490472;0.8382;0.283958659;0.79921
148;0.232151653;0.6428;0.97;0.671697046;0.4634;0.4848615;0.6889;0.013056879;0.84514
149;0.236097567;0.84022;0.97;0.840916493;0.51888;0.48039514;0.7475;-0.301213003;0.79366
150;0.557770971;0.74956;1.01;0.970732894;0.45287;0.68270176;0.7763;-0.123713775;0.82336
151;0.712328447;0.68214;0.99;0.845718299;0.49329;0.53084953;0.736;0.063986768;0.96837
152;0.745362459;0.96205;0.96;0.663583621;0.72266;0.57220323;0.7664;0.052944725;1.1299
153;1.145124252;0.70051;1.04;0.702650233;0.57867;0.58705135;0.7358;-0.020644735;1.03463
154;0.874775535;0.84726;0.89;0.735578853;0.51931;0.53535183;0.5496;0.169266352;1.0152
155;0.74188804;0.79899;0.77;0.699556703;0.48865;0.66333802;0.7472;0.173814777;0.97672
156;0.864745117;0.6658;0.93;0.554781733;0.5168;0.71421277;0.7619;0.648287404;0.98756
157;0.470330365;0.82177;0.81;0.706569648;0.66735;0.63884461;0.7085;0.487317072;1.05185
158;0.724527986;0.75671;0.53;0.653736104;0.64547;0.55167585;0.6096;1.041481535;0.94618
159;0.93124699;0.67046;0.55;0.854427131;0.38112;0.48798636;0.3843;0.91083231;0.8161
160;0.817489462;0.70411;0.76;0.781754447;;0.52327262;0.5536;0.579895585;0.76498
161;0.720885548;0.8591;0.67;0.609579807;;0.38395096;0.5587;0.401120118;0.97101
162;0.875435341;0.74629;0.50;0.771400155;;0.37369206;0.5475;0.202818421;1.0627
163;1.261560908;0.75788;0.51;0.849130616;;0.45247895;0.747;-0.05841216;0.96203
164;1.198883652;0.70296;0.81;0.662417691;;0.48704612;0.7324;-0.085228619;0.8303
165;1.207401959;0.97911;0.64;0.693328815;;0.46820858;0.6448;-0.288260281;0.84026
166;1.126470262;;0.71;;;0.66145139;0.5112;0.054528211;0.85509
167;0.911210842;;;;;0.57298892;0.5128;0.076940387;0.84139
168;0.757808131;;;;;0.47942656;0.4126;0.045467623;0.73964
169;1.01038009;;;;;0.4164995;0.6337;0.508339152;0.70349
170;1.016170323;;;;;0.52863012;0.7522;0.866218284;0.87671
171;0.429547288;;;;;0.62505495;0.5323;;0.96808
172;0.430631011;;;;;0.77310432;0.6408;;1.08649
173;0.529996379;;;;;0.85828463;0.4599;;1.15281
174;0.710227006;;;;;0.65307711;0.5606;;0.91862
175;0.898046482;;;;;0.69633254;0.4701;;0.85825
176;0.506500089;;;;;0.68241828;0.399;;0.78641
177;0.920893047;;;;;0.60303949;0.4019;;0.93889
178;1.183595788;;;;;0.70483823;0.46;;0.9014
179;0.726732607;;;;;0.73398004;0.4145;;0.82006
180;0.516804329;;;;;0.46722896;0.4886;;0.81983
181;0.746071351;;;;;0.35338242;0.5327;;0.79968
182;1.013426286;;;;;0.35701773;0.5812;;0.75648
183;1.071394655;;;;;0.38451246;0.7487;;0.86525
184;0.891992739;;;;;0.40356308;0.5811;;0.98061
185;0.976920441;;;;;0.47690992;0.5001;;0.92299
186;0.515922412;;;;;0.49582908;0.5451;;0.78598
