Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
209.0;409.4820100437748;;;;;430.99103454;403.495;;427.45108
210.0;409.9411846852977;;;;;430.67305967;403.6433;;427.42214
211.0;410.1290546950872;;;;;430.45827725;402.4476;;426.68243
212.0;410.4075164770172;;;;;430.12200296;402.6181;;425.78503
213.0;411.8064123409967;;;;;430.11319053;402.6558;;425.01828
214.0;411.5336184702457;;;;;430.06464682;402.5606;;424.43437
215.0;410.9707367542673;;;;;430.09598697;402.472;;424.65737
216.0;410.7273600785037;;;;;429.81211356;401.3081;;424.96135
217.0;410.8003022512804;;;;;;400.7791;;425.76499
218.0;410.03853883211536;;;;;;400.0482;;426.1424
219.0;409.99076445586974;;;;;;398.9434;;424.83181
220.0;406.1323529976892;;;;;;398.4911;;423.47677
221.0;405.1699501634512;;;;;;399.1621;;423.20337
222.0;407.00692158792015;;;;;;398.9451;;424.02095
223.0;407.745552485273;;;;;;398.828;;424.40516
224.0;404.9130926731567;;;;;;398.0016;;424.01521
225.0;402.786338555129;;;;;;397.3118;;424.03369
226.0;403.91927277222794;;;;;;398.0326;;423.67416
227.0;406.94604570377766;;;;;;397.7964;;423.22376
228.0;408.48638243616045;;;;;;396.3896;;423.81549
229.0;406.54895423707393;;;;;;395.3997;;423.86298
230.0;406.8329643254002;;;;;;395.0013;;422.79239
231.0;405.8339197686173;;;;;;394.8763;;421.51843
232.0;406.40972079454014;;;;;;395.5351;;421.57076
233.0;407.2653809849376;;;;;;394.7131;;421.93762
234.0;408.67845216855306;;;;;;393.5766;;421.67336
235.0;405.9503410706832;;;;;;393.0179;;421.18403
236.0;403.4961758768314;;;;;;392.8758;;421.55596
237.0;405.2667811589494;;;;;;393.5547;;422.3885
238.0;407.0309512253392;;;;;;393.6685;;422.28979
239.0;406.27292832614813;;;;;;392.8564;;421.25877
240.0;405.47980660610926;;;;;;392.179;;419.92113
241.0;406.64987794876305;;;;;;392.288;;419.09532
242.0;407.96600818021665;;;;;;392.3548;;419.86553
243.0;405.879126788334;;;;;;391.6844;;420.60205
244.0;404.23118362637007;;;;;;391.9253;;420.27859000000007
245.0;404.8672202521655;;;;;;392.0951;;418.92196
246.0;406.90660833904184;;;;;;391.6714;;417.96421
247.0;404.803882742122;;;;;;390.7718;;418.24492
248.0;402.94467838327984;;;;;;390.1551;;418.75947
249.0;402.58970470422867;;;;;;390.1177;;418.58965
250.0;404.2603251722016;;;;;;;;418.15979
251.0;404.6889761947606;;;;;;;;417.57996
252.0;405.0033898985856;;;;;;;;417.8322
253.0;405.3943631022352;;;;;;;;418.02542
254.0;405.72932674166793;;;;;;;;417.5785
255.0;405.6560003983291;;;;;;;;417.14015
256.0;406.50244775126134;;;;;;;;417.39364
257.0;407.3397330588929;;;;;;;;417.52979
258.0;408.6637387868682;;;;;;;;417.16639
259.0;408.8914437276911;;;;;;;;416.36698
260.0;408.048726050566;;;;;;;;415.98443
261.0;406.6152459055135;;;;;;;;415.95967
262.0;404.2229785788039;;;;;;;;416.23348
263.0;404.1405236795034;;;;;;;;416.49979
264.0;405.1469630013182;;;;;;;;416.08985
265.0;406.1075922561018;;;;;;;;415.71064
266.0;404.6080193054952;;;;;;;;416.42593
267.0;403.7524718625396;;;;;;;;416.90396
268.0;404.07295271830816;;;;;;;;416.02921
269.0;403.61131397905217;;;;;;;;415.20222
270.0;403.86305613226386;;;;;;;;414.51679
271.0;404.9183085579936;;;;;;;;414.78282
272.0;403.9705409636492;;;;;;;;415.59483
273.0;402.41802726834;;;;;;;;415.94918
274.0;401.590583201702;;;;;;;;415.31453
275.0;399.923227545614;;;;;;;;414.54026
276.0;401.022781981538;;;;;;;;414.1975
277.0;401.84314480714806;;;;;;;;413.9107
278.0;402.3261291727628;;;;;;;;413.3525
279.0;402.67918901581777;;;;;;;;413.48966
280.0;403.4025563494851;;;;;;;;414.15632
281.0;403.0574682449336;;;;;;;;413.36817
282.0;400.6136947132852;;;;;;;;412.78029
283.0;401.9797059598902;;;;;;;;412.79914
284.0;402.2529392586128;;;;;;;;413.28627
285.0;402.4263756821723;;;;;;;;413.78183
286.0;402.3560733464228;;;;;;;;412.86708
287.0;403.43425919187;;;;;;;;411.75093
288.0;403.2454987643415;;;;;;;;411.50429
289.0;402.7548987635297;;;;;;;;411.67247
290.0;403.3224020880481;;;;;;;;412.61152
291.0;405.0204104565289;;;;;;;;412.7858
292.0;404.0519664644532;;;;;;;;412.0404
293.0;401.17497699437286;;;;;;;;410.95461
294.0;401.30358985114896;;;;;;;;410.65222
295.0;400.9397499492929;;;;;;;;410.91181
296.0;401.0008492551694;;;;;;;;410.9532
297.0;399.96565199992943;;;;;;;;410.43208
298.0;398.843793424918;;;;;;;;410.09323
299.0;398.59837565366934;;;;;;;;409.82836
300.0;398.323317664382;;;;;;;;409.56843
301.0;397.7311822930224;;;;;;;;409.87842
302.0;397.5626768557074;;;;;;;;409.78583
303.0;397.61963895241394;;;;;;;;409.42823
304.0;398.18354592058967;;;;;;;;409.32202
305.0;399.0760192670541;;;;;;;;409.50516
306.0;400.18462682819023;;;;;;;;409.43311
307.0;399.77689213055675;;;;;;;;409.43277
308.0;394.9348607470525;;;;;;;;409.48195
309.0;392.6838024149407;;;;;;;;409.52718
310.0;392.046745879295;;;;;;;;
311.0;394.70105444731774;;;;;;;;
312.0;397.4055188822829;;;;;;;;
313.0;396.68267095231846;;;;;;;;
314.0;394.8110705943242;;;;;;;;
315.0;394.9957400598653;;;;;;;;
316.0;396.8735923193243;;;;;;;;
