   year        tas_(K)            co2_(ppm)    landflx_(PgC/yr)  ocnflx_(PgC/yr)  gpp_(PgC/yr)    npp_(PgC/yr)    rh_(PgC/yr)     cveg_(PgC)      csoil_(PgC)
  1944.0   13.412305521999997   284.2   0.618544406234   -0.085601504536   115.608031465   58.7161776506   57.2139528437   582.181861048   1777.24409147 
  1945.0   13.406877765000047   284.2   -0.0146107811251   -0.114557823851   116.690258321   59.022404604   58.0755835097   581.930788644   1777.60579451 
  1946.0   13.424920807000035   284.2   0.562807072256   -0.266437194498   117.828038243   59.2436488997   57.7651203179   582.178053367   1777.68185984 
  1947.0   13.365993031000016   284.2   1.03434984831   -0.264604374186   119.832937109   60.6012460619   58.6438942652   582.393565429   1778.00521876 
  1948.0   13.418962807000014   284.2   1.21118892654   -0.0393942571227   119.664085097   60.1538997938   58.0075703797   582.891924615   1779.02496722 
  1949.0   13.614924719000044   284.2   -2.1207331426   -0.0912227854608   113.210501368   56.438685844   57.6929817935   582.577679147   1779.07528318 
  1950.0   13.53790992100005   284.2   -2.21205595484   -0.152524467281   114.613627336   57.6124977849   58.9243818511   581.718631101   1776.90889042 
  1951.0   13.561523654000041   284.2   1.38324078784   -0.0755790993026   119.596582726   60.6150593694   58.3620897746   582.264759589   1776.65106106 
  1952.0   13.69090060800005   284.2   -2.49237885719   -0.0120435297421   113.461809218   56.5381950478   58.1923292978   582.095718026   1776.33922083 
  1953.0   13.460481643000037   284.2   0.497986069027   -0.168602115776   120.343141074   60.9117619241   59.4872703746   582.108514982   1774.90927555 
  1954.0   13.438726859000042   284.2   2.1360800851   0.00783972470382   121.280456775   61.1511889053   58.050463984   583.27968587   1775.67873136 
  1955.0   13.732348122000019   284.2   -1.11350770145   0.0975282970668   112.998432034   56.7072990095   56.9255676311   582.988523742   1776.42382044 
  1956.0   13.825976196   284.2   -2.57518335269   -0.0243062628117   113.777380481   56.4215697536   58.0929335932   582.120490815   1775.11877959 
  1957.0   13.669625654000015   284.2   0.600675626338   -0.0521637622531   118.566638221   59.9004827586   58.3646444991   582.141183082   1774.16776672 
  1958.0   13.602964206000024   284.2   0.223819609917   0.0453091594121   118.404945877   59.7925203993   58.6389746423   582.162963882   1774.49090716 
  1959.0   13.764738231000024   284.2   0.0910021049577   0.211829394492   116.326750525   58.5757709927   57.5977859308   582.361549283   1774.62969957 
  1960.0   13.836215768000045   284.2   -2.4200842927   0.0886225833064   113.675229053   56.7126808011   58.2640710866   581.832627748   1773.92081923 
  1961.0   13.534829625000043   284.2   0.787302970186   -0.00386814221588   119.342270834   60.1781586631   58.4372742873   581.600866595   1773.17762311 
  1962.0   13.549021147000019   284.2   1.71020900251   0.0693556318892   119.18505291   60.355422945   57.7299597304   582.190071118   1774.24123833 
